Matiz,Saturacion,Valor,Brillo,SRE,LRE,GNL,RLNU,RP,LGRE,HGRE,SRLGE,SRHGE,LRLGE,LRHGE,GLV,RLV,Etiqueta
0.06051,0.780729,0.731147,0.419304,0.183585,0.730774,0.357054,0.582421,0.16955,0.525372,0.572149,0.834691,0.869195,0.120208,0.862766,0.535056,0.847709,1
0.059839,0.801838,0.708847,0.351965,0.131463,0.740982,0.332621,0.554799,0.129947,0.494077,0.542444,0.86738,0.905485,0.101284,0.874592,0.544125,0.847931,1
0.053263,0.803158,0.705319,0.349023,0.154603,0.733793,0.338939,0.554728,0.12827,0.493728,0.543206,0.865915,0.903614,0.096317,0.876125,0.543692,0.849999,1
0.056138,0.803073,0.70801,0.345788,0.135215,0.726492,0.343287,0.55066,0.118116,0.494804,0.539856,0.874415,0.909889,0.094338,0.873071,0.536429,0.855994,1
0.053451,0.807428,0.699711,0.340943,0.143779,0.717111,0.352922,0.552959,0.124404,0.490514,0.543321,0.875654,0.907995,0.096533,0.871365,0.528624,0.86154,1
0.053874,0.801594,0.703768,0.349565,0.151927,0.711455,0.359869,0.556135,0.136606,0.495804,0.547258,0.871536,0.901423,0.106157,0.857634,0.520266,0.862311,1
0.060589,0.844603,0.462106,0.430101,0.251021,0.729803,0.521423,0.95797,0.43583,0.305563,0.959995,0.683421,0.652095,0.338243,0.636749,0.478456,0.810371,1
0.052279,0.803623,0.701019,0.349557,0.148337,0.710196,0.362228,0.558668,0.126056,0.49554,0.55002,0.874042,0.901116,0.101312,0.86035,0.514942,0.867401,1
0.052528,0.800029,0.702943,0.351922,0.142635,0.706907,0.366409,0.560812,0.130457,0.4972,0.552616,0.873487,0.898412,0.10686,0.85326,0.512448,0.86672,1
0.05073,0.802295,0.70182,0.354599,0.144428,0.704262,0.370834,0.56488,0.127112,0.49812,0.557123,0.874558,0.897114,0.102065,0.855533,0.508277,0.871583,1
0.049185,0.826217,0.675892,0.279233,0.099259,0.710956,0.348836,0.535802,0.088792,0.462525,0.526323,0.908071,0.931355,0.086753,0.866488,0.510965,0.873763,1
0.049197,0.82857,0.673673,0.280974,0.100616,0.70961,0.352747,0.540715,0.087049,0.462528,0.531552,0.907643,0.932046,0.085383,0.868784,0.512579,0.873335,1
0.048114,0.824151,0.673983,0.284658,0.107465,0.707188,0.355422,0.541573,0.100787,0.463851,0.53272,0.90639,0.928546,0.093663,0.860339,0.503976,0.877609,1
0.04683,0.800448,0.701921,0.363626,0.147964,0.705381,0.376523,0.57772,0.132845,0.501244,0.57025,0.876166,0.892799,0.105567,0.852048,0.497764,0.876168,1
0.057658,0.796485,0.703912,0.370155,0.141223,0.703202,0.380781,0.582003,0.134066,0.50384,0.574925,0.874295,0.891501,0.107884,0.847927,0.499618,0.874187,1
